English,Português
Let's go,Vamos
Look out,Cuidado
Don't worry,Não se preocupe
What's up?,E aí? O que houve?
I'm sorry,Me desculpe
Thank you,Obrigado(a)
Never mind,Deixa pra lá
Get out,"Saia, Cai fora"
C'mon (Come on),"Vamos, Qual é, Força"
I've got this,Eu dou conta disso
Seriously?,É sério?
Are you okay?,Você está bem?
What do you mean?,O que você quer dizer?
Trust me,Confie em mim
I need to go,Eu preciso ir
What happened?,O que aconteceu?
That's it,"É isso, Chega"
Take care,Se cuide
Shut up,Cale a boca
I promise,Eu prometo
It's okay,Está tudo bem
I don't know,Eu não sei
I love you,Eu te amo
I'm fine,Estou bem
Help me,Me ajude
I'm here,Eu estou aqui
My God,Meu Deus
Listen to me,Me escute
Are you sure?,Você tem certeza?
Follow me,Me siga
Stay with me,Fique comigo
I knew it,Eu sabia
For real?,É sério? De verdade?
Calm down,Se acalme
What's going on?,O que está acontecendo?
You're crazy,Você é louco(a)
You look great,Você está ótimo(a)
I can't believe it,Eu não consigo acreditar
Get over it,Supere isso
You've got to be kidding me,Você deve estar de brincadeira
What a mess,Que bagunça
That's not fair,Isso não é justo
Good job,Bom trabalho
Don't touch me,Não me toque
I'll be back,Eu voltarei
No way,"De jeito nenhum, Sem chance"
You're welcome,De nada
Get lost,"Se perca, Vá se perder"
It's a trap,É uma armadilha